ds,y
10/5/94,453.519989
10/4/94,454.589996
10/3/94,461.73999
9/30/94,462.709991
9/29/94,462.23999
9/28/94,464.839996
9/27/94,462.049988
9/26/94,460.820007
9/23/94,459.670013
9/22/94,461.269989
9/21/94,461.459991
9/20/94,463.359985
9/19/94,470.850006
9/16/94,471.190002
9/15/94,474.809998
9/14/94,468.799988
9/13/94,467.51001
9/12/94,466.209991
9/9/94,468.179993
9/8/94,473.140015
9/7/94,470.98999
9/6/94,471.859985
9/2/94,470.98999
9/1/94,473.170013
8/31/94,475.48999
8/30/94,476.070007
8/29/94,474.589996
8/26/94,473.799988
8/25/94,468.079987
8/24/94,469.029999
8/23/94,464.51001
8/22/94,462.320007
8/19/94,463.679993
8/18/94,463.170013
8/17/94,465.170013
8/16/94,465.01001
8/15/94,461.230011
8/12/94,461.940002
8/11/94,458.880005
8/10/94,460.299988
8/9/94,457.920013
8/8/94,457.890015
8/5/94,457.089996
8/4/94,458.399994
8/3/94,461.450012
8/2/94,460.559998
8/1/94,461.01001
7/29/94,458.26001
7/28/94,454.23999
7/27/94,452.570007
7/26/94,453.359985
7/25/94,454.25
7/22/94,453.109985
7/21/94,452.609985
7/20/94,451.600006
7/19/94,453.859985
7/18/94,455.220001
7/15/94,454.160004
7/14/94,453.410004
7/13/94,448.730011
7/12/94,447.950012
7/11/94,448.059998
7/8/94,449.549988
7/7/94,448.380005
7/6/94,446.130005
7/5/94,446.369995
7/1/94,446.200012
6/30/94,444.269989
6/29/94,447.630005
6/28/94,446.070007
6/27/94,447.309998
6/24/94,442.799988
6/23/94,449.630005
6/22/94,453.089996
6/21/94,451.339996
6/20/94,455.480011
6/17/94,458.450012
6/16/94,461.929993
6/15/94,460.609985
6/14/94,462.369995
6/13/94,459.100006
6/10/94,458.670013
6/9/94,457.859985
6/8/94,457.059998
6/7/94,458.209991
6/6/94,458.880005
